Ch 1 (s)	 Ch 1 (Volts)	 Ch 2 (s)	 Ch 2 (Volts)
     1.364E-3	      80.00E-3	      1.364E-3	     0.0000
     1.368E-3	     0.0000	      1.368E-3	     0.0000
     1.372E-3	      80.00E-3	      1.372E-3	      80.00E-3
     1.376E-3	     0.0000	      1.376E-3	     0.0000
     1.380E-3	     0.0000	      1.380E-3	     0.0000
     1.384E-3	     0.0000	      1.384E-3	     0.0000
     1.388E-3	      80.00E-3	      1.388E-3	      80.00E-3
     1.392E-3	     0.0000	      1.392E-3	     0.0000
     1.396E-3	     0.0000	      1.396E-3	     0.0000
     1.400E-3	     0.0000	      1.400E-3	     0.0000
     1.404E-3	     0.0000	      1.404E-3	     0.0000
     1.408E-3	      80.00E-3	      1.408E-3	     0.0000
     1.412E-3	      80.00E-3	      1.412E-3	     0.0000
     1.416E-3	     0.0000	      1.416E-3	     0.0000
     1.420E-3	      80.00E-3	      1.420E-3	     0.0000
     1.424E-3	      80.00E-3	      1.424E-3	     0.0000
     1.428E-3	     0.0000	      1.428E-3	     0.0000
     1.432E-3	     0.0000	      1.432E-3	     0.0000
     1.436E-3	      80.00E-3	      1.436E-3	     0.0000
     1.440E-3	     0.0000	      1.440E-3	     0.0000
     1.444E-3	     0.0000	      1.444E-3	     0.0000
     1.448E-3	     0.0000	      1.448E-3	     0.0000
     1.452E-3	     0.0000	      1.452E-3	     0.0000
     1.456E-3	     0.0000	      1.456E-3	     0.0000
     1.460E-3	      80.00E-3	      1.460E-3	     0.0000
     1.464E-3	      80.00E-3	      1.464E-3	     0.0000
     1.468E-3	     0.0000	      1.468E-3	     0.0000
     1.472E-3	     0.0000	      1.472E-3	     0.0000
     1.476E-3	      80.00E-3	      1.476E-3	      80.00E-3
     1.480E-3	      80.00E-3	      1.480E-3	      80.00E-3
     1.484E-3	     0.0000	      1.484E-3	      80.00E-3
     1.488E-3	     0.0000	      1.488E-3	     0.0000
     1.492E-3	      80.00E-3	      1.492E-3	     0.0000
     1.496E-3	     0.0000	      1.496E-3	     0.0000
     1.500E-3	     0.0000	      1.500E-3	     0.0000
     1.504E-3	      80.00E-3	      1.504E-3	      80.00E-3
     1.508E-3	      80.00E-3	      1.508E-3	     0.0000
     1.512E-3	      80.00E-3	      1.512E-3	     0.0000
     1.516E-3	     0.0000	      1.516E-3	     0.0000
     1.520E-3	     0.0000	      1.520E-3	      80.00E-3
     1.524E-3	      80.00E-3	      1.524E-3	     0.0000
     1.528E-3	     0.0000	      1.528E-3	     0.0000
     1.532E-3	      80.00E-3	      1.532E-3	     0.0000
     1.536E-3	     0.0000	      1.536E-3	     0.0000
